recipe_urls,recipe_name,ingredients,ingredients_parsed
https://cuisine-facile.com/entrees/recette-bouchees-italienne-de-seb.php,Bouchées à l'italienne de Seb,"['1 2 pommes de terre cuites', '2 3 œufs durs', '3 1 baguette', '4 30 ml de vin blanc sec (facultatif)', '5 100 g de Sauce pesto', '6 50 g de Parmigiano reggiano (Parmesan)']",pommes terre cuites oeufs durs baguette vin blanc sec sauce pesto parmigiano reggiano
https://cuisine-facile.com/entrees/recette-bouchees-fumees.php,Bouchées fumées,"['1 1 baguette', '2 200 g de Pesto aux pistaches et épinards', '3 200 g de saucisse de Morteau cuite', '4 4 œufs durs', '5 200 g de fromage fumé']",baguette pesto pistaches epinards saucisse morteau cuite oeufs durs fromage fume
https://cuisine-facile.com/entrees/recette-bouillon-leger-aux-brocoli.php,Bouillon léger aux brocoli,"['1 750 g de brocoli', '2 1 litre de Bouillon de légumes', '3 sel', '4 poivre']",brocoli litre bouillon legume sel poivre
https://cuisine-facile.com/entrees/recette-canapes-facon-bistrot.php,Canapés façon bistrot,"['1 2 tranches de jambon cru', '2 ½ baguette', ""3 4 cuillères à soupe d'huile d'olive"", '4 3 œufs', '5 2 cuillères à soupe de crème fraiche liquide', '6 20 g de beurre', '7 100 g de fromage', '8 sel', '9 poivre']",tranche jambon cru baguette cuilleres a soupe oeufs cuilleres a soupe creme fraiche liquide beurre fromage sel poivre
https://cuisine-facile.com/entrees/recette-celeris-remoulade.php,Céleris rémoulade,"['1 1 céleri-rave', '2 250 g de Sauce rémoulade', '3 persil']",celeri rave sauce remoulade persil
https://cuisine-facile.com/entrees/recette-celeris-remoulette.php,Céleris rémoulette,"['1 500 g de céleri-rave', '2 2 échalotes', '3 3 brins de coriandre', '4 3 brins de persil', '5 1 œuf', '6 1 cuillère à soupe de moutarde', '7 2 cuillères à soupe de jus de citron', ""8 200 ml d'huile"", '9 sel', '10 poivre']",celeri rave echalotes brins coriandre brins persil oeuf cuillere a soupe moutarde cuilleres a soupe jus citron sel poivre
https://cuisine-facile.com/entrees/recette-cervelle-de-canut.php,Cervelle de canut,"['1 400 g de fromage blanc', '2 3 échalotes', ""3 2 gousses d'ail"", '4 ciboulette', '5 persil', '6 4 cuillères à soupe de crème fraiche liquide', ""7 4 cuillères à soupe d'huile d'olive"", '8 4 cuillères à soupe de vinaigre blanc', '9 sel', '10 poivre']",fromage blanc echalotes gousses ciboulette persil cuilleres a soupe creme fraiche liquide cuilleres a soupe cuilleres a soupe vinaigre blanc sel poivre
https://cuisine-facile.com/entrees/recette-choux-de-bruxelles-en-salade.php,Choux de Bruxelles en salade,"['1 600 g de choux de Bruxelles', '2 persil', '3 1 citron', '4 20 g de Parmigiano reggiano (Parmesan)', ""5 5 cuillères à soupe d'huile d'olive"", '6 sel', '7 poivre']",chou bruxelles persil citron parmigiano reggiano cuilleres a soupe sel poivre
https://cuisine-facile.com/entrees/recette-cocktail-nordique.php,Cocktail nordique,"['1 100 g de saumon fumé', '2 100 g de filets de truite fumée', '3 100 g de crevettes cuites', '4 2 cuillères à soupe de Sauce rémoulade', ""5 50 g de pointes d'asperges"", '6 Quelques feuilles de salade', '7 4 tranches de pain grillé', '8 un peu de sauce soja (facultatif)', ""9 un peu d'huile d'olive (facultatif)"", '10 un peu de ciboulette']",saumon fume filet truite fumee crevettes cuites cuilleres a soupe sauce remoulade pointes quelques feuilles salade tranche pain grille peu sauce soja peu peu ciboulette
https://cuisine-facile.com/entrees/recette-coleslaw-breton.php,Coleslaw Breton,"['1 200 g de carotte', '2 200 g de chou-fleur', '3 1 oignon rouge', '4 persil', '5 4 cuillères à soupe de Mayonnaise']",carotte chou fleur oignon persil cuilleres a soupe mayonnaise
https://cuisine-facile.com/entrees/recette-comme-boursin-ail-fines-herbes.php,Comme un boursin ail et fines herbes,"['1 250 g de fromage frais', '2 1 échalote', ""3 1 gousse d'ail"", '4 1 bouquet de ciboulette', '5 1 bouquet de persil', '6 sel', '7 poivre']",fromage echalote gousse bouquet ciboulette bouquet persil sel poivre
https://cuisine-facile.com/entrees/recette-crackers.php,Crackers,"['1 250 g de farine', '2 30 g de beurre', '3 150 ml de lait', '4 1 petite cuillère de sel fin']",farine beurre lait cuillere sel fin
https://cuisine-facile.com/entrees/recette-crackers-au-pesto.php,Crackers au pesto,"['1 250 g de farine', '2 10 g de beurre', '3 100 ml de lait', '4 150 g de Sauce pesto', '5 1 petite cuillère de sel fin', '6 30 g de Parmigiano reggiano (Parmesan) (facultatif)']",farine beurre lait sauce pesto cuillere sel fin parmigiano reggiano
https://cuisine-facile.com/entrees/recette-creme-de-chou-fleur-au-haddock-fume.php,Crème de chou-fleur au haddock fumé,"['1 1 chou-fleur', '2 1 litre de lait entier', '3 1 Bouquet garni', '4 100 g de haddock fumé', '5 200 ml de crème fraiche liquide', '6 ciboulette', '7 sel', '8 poivre']",chou fleur litre lait entier bouquet garni haddock fume creme fraiche liquide ciboulette sel poivre
https://cuisine-facile.com/entrees/recette-creme-foie-gras.php,Crème de foie gras,"['1 125 g de foie gras cru', '2 250 ml de crème fraiche liquide', ""3 2 jaunes d'œuf"", ""4 10 ml de Cognac ou d'Armagnac"", '5 10 ml de Porto', '6 1.5 g de sel', '7 0.5 g de poivre', '8 1 pincée de quatre-épices', '9 130 g de pommes de terre', '10 70 ml de crème fraiche liquide', '11 70 ml de lait', '12 20 g de beurre', '13 3 tranches de jambon fumé', '14 sel', '15 poivre']",foie gras cru creme fraiche liquide jaunes cognac porto sel poivre pincee quatre epices pommes terre creme fraiche liquide lait beurre tranche jambon fume sel poivre
https://cuisine-facile.com/entrees/recette-croquant-choux-fleur-citron.php,Croquant de chou-fleur au citron,"['1 750 g de chou-fleur', '2 50 g de radis', '3 100 g de Mayonnaise au citron', '4 persil']",chou fleur radis mayonnaise citron persil
https://cuisine-facile.com/entrees/recette-croque-monsieur.php,Croque-monsieur,"['1 12 tranches de Pain de mie', '2 3 tranches de jambon', '3 250 g de Sauce béchamel', '4 150 g de fromage râpé']",tranche pain mie tranche jambon sauce bechamel fromage rape
https://cuisine-facile.com/entrees/recette-croustillant-fromage.php,Croustillant au fromage,"[""1 150 g d'Époisses"", '2 50 g de graines de lin', '3 poivre', '4 8 feuilles de brick', ""5 2 cuillères à soupe d'huile"", '6 1 salade verte', '7 ciboulette']",graines lin poivre feuilles brick cuilleres a soupe salade verte ciboulette
https://cuisine-facile.com/entrees/recette-endives-rouges-en-amuse-bouche.php,Endives rouges en amuse-bouche,"['1 100 g de fromage frais', '2 ciboulette', ""3 50 g de sardines à l'huile"", '4 1 cuillère à soupe de jus de citron', '5 1 endive rouge', '6 20 g de Variante rouge', '7 sel', '8 poivre']",fromage ciboulette sardine a cuillere a soupe jus citron endive variante sel poivre
https://cuisine-facile.com/entrees/recette-feuilletes-jambon-en-escargot.php,"Feuilletés au jambon ""En escargot""","['1 200 g de Pâte feuilletée', '2 20 g de dorure', '3 5 tranches de jambon fumé', '4 poivre']",pate feuilletee dorure tranche jambon fume poivre
https://cuisine-facile.com/entrees/recette-flutes-feuilletees-aux-olives.php,Flutes feuilletées aux olives,"['1 200 g de Pâte feuilletée', '2 50 g de Tapenade', '3 20 g de dorure']",pate feuilletee tapenade dorure
https://cuisine-facile.com/entrees/recette-foie-gras-cuit-gros-sel.php,Foie gras cuit au gros sel,"['1 1 foie gras cru (de 500 g environ)', '2 2 g de poivre', '3 1 pincée de noix de muscade râpée', '4 1 pincée de quatre-épices', '5 ½ petite cuillère de sucre en poudre', '6 2 cuillères à soupe de Porto', ""7 2 cuillères à soupe de Cognac ou d'Armagnac"", '8 2 cuillères à soupe de Xérès', '9 1 kg de gros sel', ""10 200 g de graisse d'oie""]",foie gras cru poivre pincee noix muscade rapee pincee quatre epices cuillere sucre poudre cuilleres a soupe porto cuilleres a soupe cognac cuilleres a soupe xeres kg gros sel graisse
https://cuisine-facile.com/entrees/recette-foie-gras-terrine-fait-maison.php,Foie gras en terrine fait maison,"['1 1 foie gras cru (de 500 g environ)', '2 6 g de sel fin', '3 2 g de poivre', '4 0.5 g de quatre-épices', '5 5 g de sucre en poudre', '6 5 ml de Porto', ""7 5 ml de Cognac ou d'Armagnac""]",foie gras cru sel fin poivre quatre epices sucre poudre porto cognac
https://cuisine-facile.com/entrees/recette-fonds-dartichauts-forestiers.php,Fonds d'artichauts forestiers,"[""1 6 fonds d'artichaut"", '2 6 œufs', '3 50 ml de vinaigre blanc', '4 200 g de champignons de Paris', '5 25 g de beurre', '6 2 échalotes', '7 1 citron', '8 1 bouquet de persil', '9 25 g de beurre', '10 125 g de lardons', '11 1 cuillère à soupe de vinaigre', '12 ½ oignon', '13 300 ml de vin blanc sec', '14 250 ml de crème fraiche liquide', '15 sel', '16 poivre']",fonds oeufs vinaigre blanc champignons paris beurre echalotes citron bouquet persil beurre lardons cuillere a soupe vinaigre oignon vin blanc sec creme fraiche liquide sel poivre
https://cuisine-facile.com/entrees/recette-gougeres.php,Gougères,"['1 450 g de Pâte à choux', '2 50 g de fromage râpé', '3 2 tranches de jambon fumé (facultatif)', '4 1 cuillère à soupe de lait (facultatif)']",pate a chou fromage rape tranche jambon fume cuillere a soupe lait
https://cuisine-facile.com/entrees/recette-guacamole.php,Guacamole,"['1 2 avocats', '2 1 échalote', '3 ½ citron vert', '4 un peu de Tabasco', ""5 4 cuillères à soupe d'huile d'olive"", '6 sel', '7 poivre', '8 1 tomate (facultatif)', '9 1 pincée de vitamine C (facultatif)']",avocats echalote citron vert peu tabasco cuilleres a soupe sel poivre tomate pincee vitamine
https://cuisine-facile.com/entrees/recette-houmous.php,Houmous,"['1 400 g de pois chiche en boite', '2 1 citron', '3 2 cuillères à soupe de purée de sésame (tahineh)', ""4 1 gousse d'ail"", '5 1 petite cuillère de curcuma', ""6 3 cuillères à soupe d'huile d'olive"", '7 sel fin', '8 poivre', ""9 un peu d'eau""]",poi chiche boite citron cuilleres a soupe puree sesame gousse cuillere curcuma cuilleres a soupe sel fin poivre peu
https://cuisine-facile.com/entrees/recette-houmous-vert.php,Houmous vert,"['1 1 échalote', '2 1 courgette', ""3 1 gousse d'ail"", '4 persil', '5 1 cuillère à soupe de feuilles de menthe fraîche', ""6 2 cuillères à soupe d'huile d'olive"", '7 350 g de pois chiche en boite', '8 1 cuillère à soupe de purée de sésame (tahineh)', '9 2 cuillères à soupe de jus de citron', '10 sel', '11 poivre']",echalote courgette gousse persil cuillere a soupe feuilles menthe fraiche cuilleres a soupe poi chiche boite cuillere a soupe puree sesame cuilleres a soupe jus citron sel poivre
https://cuisine-facile.com/entrees/recette-jambon-a-la-russe.php,Jambon à la russe,"['1 150 g de Macédoine de légumes', '2 4 tranches de jambon']",macedoine legume tranche jambon
https://cuisine-facile.com/entrees/recette-langoustines-grillees-sesame.php,Langoustines grillées au sésame,"['1 36 langoustines', '2 1 œuf', ""3 2 cuillères à soupe d'eau"", '4 2 cuillères à soupe de chapelure', '5 1 petite cuillère de farine', '6 3 cuillères à soupe de graines de sésame', ""7 Salade d'herbe"", '8 huile', '9 sel', '10 poivre']",langoustine oeuf cuilleres a soupe cuilleres a soupe chapelure cuillere farine cuilleres a soupe graines sesame salade sel poivre
https://cuisine-facile.com/entrees/recette-mini-toasts-fromage-et-moutarde.php,Mini toasts fromage et moutarde,"['1 50 g de Comté', '2 3 cuillères à soupe de crème fraiche', '3 1 cuillère à soupe de moutarde', '4 poivre', '5 ½ baguette']",comte cuilleres a soupe creme fraiche cuillere a soupe moutarde poivre baguette
https://cuisine-facile.com/entrees/recette-mousse-davocat-crabe-verrine.php,Mousse d'avocat au crabe en verrine,"['1 2 avocats', '2 ½ citron vert', ""3 2 cuillères à soupe d'huile d'olive"", '4 5 gouttes de Tabasco', ""5 2 blancs d'œuf"", '6 150 g de chair de crabe', '7 2 cuillères à soupe de Sauce rémoulade', '8 ciboulette', '9 1 pincée de vitamine C (facultatif)', '10 sel', '11 poivre']",avocats citron vert cuilleres a soupe gouttes tabasco blanc chair crabe cuilleres a soupe sauce remoulade ciboulette pincee vitamine sel poivre
https://cuisine-facile.com/entrees/recette-mousse-betteraves-crues-noix.php,Mousse de betteraves crues aux noix,"['1 1 betterave crue', '2 1 poignée de cerneaux de noix', '3 1 citron', ""4 1 cuillère à soupe d'huile d'olive"", '5 200 ml de crème fraiche liquide', '6 ½ petite cuillère de wasabi', '7 un peu de ciboulette', '8 sel', '9 poivre']",betterave crue poignee cerneaux noix citron cuillere a soupe creme fraiche liquide cuillere wasabi peu ciboulette sel poivre
https://cuisine-facile.com/entrees/recette-noix-de-cajou-grillees-aux-epices.php,Noix de cajou grillées aux épices,"[""1 1 blanc d'œuf"", '2 1 citron vert', '3 300 g de noix de cajou', ""4 2 cuillères à soupe d'épices à chili"", '5 sel fin']",blanc citron vert noix cajou cuilleres a soupe a chili sel fin
https://cuisine-facile.com/entrees/recette-oeuf-arsene.php,Oeuf Arsène,"[""1 1 cuillère à soupe d'huile"", '2 250 g de lard', '3 4 Oeufs pochés', '4 300 g de cancoillotte', '5 100 g de crème fraiche', '6 200 g de Brioche de Nanterre', '7 50 g de beurre', '8 poivre']",cuillere a soupe lard oeufs poches cancoillotte creme fraiche brioche nanterre beurre poivre
https://cuisine-facile.com/entrees/recette-oeufs-coque-surprise.php,Oeufs à la coque surprise,"['1 150 g de crevettes cuites', '2 1 échalote', '3 2 tranches de jambon cru', ""4 2 cuillères à soupe d'huile d'olive"", '5 ½ citron', '6 4 œufs', '7 30 g de beurre', '8 ciboulette', '9 sel', '10 poivre']",crevettes cuites echalote tranche jambon cru cuilleres a soupe citron oeufs beurre ciboulette sel poivre
https://cuisine-facile.com/entrees/recette-oeufs-benedict.php,Oeufs Benedict,"['1 4 tranches de Pain de mie', '2 30 g de beurre', '3 2 tranches de jambon fumé', '4 4 Oeufs pochés', '5 200 g de Sauce Hollandaise', '6 4 feuilles de persil (facultatif)']",tranche pain mie beurre tranche jambon fume oeufs poches sauce hollandaise feuilles persil
https://cuisine-facile.com/entrees/recette-oeufs-cocotte-francaise.php,Oeufs cocotte à la Française,"['1 200 g de petits-pois', ""2 1 cuillère à soupe d'huile d'olive"", ""3 50 g d'oignon"", '4 40 g de beurre', '5 100 g de lardons', '6 4 œufs', '7 4 cuillères à soupe de crème fraiche liquide', '8 ciboulette', '9 sel', '10 poivre']",petits poi cuillere a soupe beurre lardons oeufs cuilleres a soupe creme fraiche liquide ciboulette sel poivre
https://cuisine-facile.com/entrees/recette-oeufs-cocotte-comte.php,Oeufs cocotte au Comté,"['1 6 œufs', '2 150 ml de crème fraiche liquide', '3 125 g de lardons', '4 2 cuillères à soupe de vinaigre', '5 50 g de Comté', '6 1 noix de beurre', '7 un peu de ciboulette', ""8 1 cuillère à soupe d'huile"", '9 sel fin', '10 poivre']",oeufs creme fraiche liquide lardons cuilleres a soupe vinaigre comte noix beurre peu ciboulette cuillere a soupe sel fin poivre
https://cuisine-facile.com/entrees/recette-oeufs-cocotte-epinards.php,Oeufs cocotte aux épinards,"['1 250 g de champignons', ""2 30 g d'échalote"", '3 30 g de beurre', ""4 200 g d'épinards cuits"", '5 30 g de beurre', '6 150 ml de crème fraiche liquide', '7 6 œufs', '8 sel', '9 poivre', '10 ½ citron']",champignons beurre cuits beurre creme fraiche liquide oeufs sel poivre citron
https://cuisine-facile.com/entrees/recette-oeufs-cocotte-poulet-et-epinards.php,Oeufs cocotte poulet et épinards,"[""1 100 g d'épinards cuits"", '2 100 g de poulet cuit', '3 4 cuillères à soupe de crème fraiche liquide', '4 4 œufs', '5 sel', '6 poivre']",cuits poulet cuit cuilleres a soupe creme fraiche liquide oeufs sel poivre
https://cuisine-facile.com/entrees/recette-oeufs-caille-boutonniere.php,Oeufs de caille en boutonnière,"['1 3 tranches de pain', '2 3 tranches de jambon fumé', '3 30 g de beurre', '4 18 œufs de caille', ""5 1 petite cuillère d'eau"", '6 sel', '7 poivre']",tranche pain tranche jambon fume beurre oeufs caille cuillere sel poivre
https://cuisine-facile.com/entrees/recette-oeufs-caille-canapes.php,Oeufs de caille en canapés,"['1 20 œufs de caille', '2 4 tranches de pain', '3 2 tranches de jambon fumé', '4 30 g de beurre', '5 un peu de ciboulette', '6 sel', '7 poivre']",oeufs caille tranche pain tranche jambon fume beurre peu ciboulette sel poivre
https://cuisine-facile.com/entrees/recette-oeufs-fumes.php,Oeufs fumés,"['1 50 g de saucisse de Morteau', '2 100 ml de crème fraiche liquide', ""3 4 jaunes d'œuf"", '4 2 tranches de pain', '5 30 g de beurre']",saucisse morteau creme fraiche liquide jaunes tranche pain beurre
https://cuisine-facile.com/entrees/recette-oeufs-mayonnaise.php,Oeufs mayonnaise,"['1 2 carottes', '2 1 échalote', ""3 1 gousse d'ail"", '4 persil', '5 4 cuillères à soupe de Sauce vinaigrette', '6 4 œufs durs', '7 4 cuillères à soupe de Mayonnaise', '8 ciboulette']",carottes echalote gousse persil cuilleres a soupe sauce vinaigrette oeufs durs cuilleres a soupe mayonnaise ciboulette
https://cuisine-facile.com/entrees/recette-oeufs-mimosa.php,Oeufs mimosa,"['1 6 œufs durs', '2 1 bouquet de ciboulette', '3 1 bouquet de persil', '4 250 g de Mayonnaise']",oeufs durs bouquet ciboulette bouquet persil mayonnaise
https://cuisine-facile.com/entrees/recette-pain-tomate.php,Pain à la tomate,"['1 1 tomate', '2 4 tranches de pain', ""3 2 cuillères à soupe d'huile d'olive"", '4 sel', '5 poivre']",tomate tranche pain cuilleres a soupe sel poivre
https://cuisine-facile.com/entrees/recette-pan-bagnat.php,Pan bagnat,"['1 2 tomates', '2 2 oignons nouveaux', '3 50 g de radis', '4 1 bouquet de basilic', ""5 4 cuillères à soupe d'huile d'olive"", '6 3 cuillères à soupe de vinaigre', '7 4 Pains pour hamburger', ""8 150 g de thon à l'huile""]",tomates oignons nouveaux radis bouquet basilic cuilleres a soupe cuilleres a soupe vinaigre pain hamburger thon a
https://cuisine-facile.com/entrees/recette-petites-madeleines-salees-aux-2-fromages.php,Petites madeleines salées aux 2 fromages,"['1 200 g de fromage', '2 150 g de farine', '3 10 g de levure chimique', '4 3 œufs', ""5 100 ml d'huile d'olive"", '6 30 ml de lait', '7 sel', '8 poivre']",fromage farine levure chimique oeufs lait sel poivre
https://cuisine-facile.com/entrees/recette-petites-omelettes-legumes.php,Petites omelettes aux légumes,"['1 1 courgette', '2 1 tomate', '3 1 tranche de jambon fumé', '4 2 œufs', ""5 6 cuillères à soupe d'huile d'olive"", ""6 3 cuillères à soupe d'Huile d'olive aux herbes (facultatif)"", ""7 1 gousse d'ail"", '8 1 feuille de laurier', ""9 1 brin d'estragon"", '10 1 brin de romarin', '11 sel', '12 poivre']",courgette tomate tranche jambon fume oeufs cuilleres a soupe cuilleres a soupe herbes gousse feuille laurier brin brin romarin sel poivre
https://cuisine-facile.com/entrees/recette-petits-feuilletes-foie-gras.php,Petits feuilletés au foie gras,"['1 200 g de Pâte feuilletée', '2 100 g de foie gras cru', '3 20 g de dorure', '4 poivre']",pate feuilletee foie gras cru dorure poivre
https://cuisine-facile.com/entrees/recette-petits-legumes-croute-lislandaise.php,Petits légumes en croûte à l'islandaise,"['1 200 g de morue', '2 3 carottes', '3 1 poireau', '4 2 poignées de petits-pois', '5 2 poignées de haricots verts', '6 100 g de champignons de Paris', '7 200 ml de crème fraiche liquide', '8 20 g de dorure', '9 200 g de Pâte feuilletée', '10 1 noix de beurre', ""11 un peu de graisse d'oie"", '12 ½ citron', '13 1 échalote', '14 sel', '15 poivre']",morue carottes poireau poignees petits poi poignees haricot verts champignons paris creme fraiche liquide dorure pate feuilletee noix beurre peu graisse citron echalote sel poivre
https://cuisine-facile.com/entrees/recette-petits-roules-lardons-fromage.php,Petits roulés aux lardons et fromage,"['1 200 g de Pâte feuilletée', '2 20 g de dorure', '3 125 g de lardons', '4 125 g de Comté', '5 sel fin', '6 poivre', '7 1 cuillère à soupe de vinaigre']",pate feuilletee dorure lardons comte sel fin poivre cuillere a soupe vinaigre
https://cuisine-facile.com/entrees/recette-poireaux-vinaigrette.php,Poireaux vinaigrette,"['1 4 poireaux', '2 2 œufs durs', '3 persil', '4 150 ml de Sauce vinaigrette']",poireaux oeufs durs persil sauce vinaigrette
https://cuisine-facile.com/entrees/recette-pommes-dauphines-jambon-serano.php,Pommes dauphines au jambon Serano,"['1 300 g de purée de pommes de terre', ""2 2 jaunes d'œuf"", '3 50 g de jambon fumé']",puree pommes terre jaunes jambon fume
https://cuisine-facile.com/entrees/recette-potage-barry.php,Potage à la Du Barry,"['1 1 chou-fleur', '2 1 cube de bouillon de volaille', '3 3 cuillères à soupe de maïzena', ""4 3 cuillères à soupe d'eau"", '5 125 ml de crème fraiche', '6 1 noix de beurre', '7 sel', '8 poivre']",chou fleur cube bouillon volaille cuilleres a soupe maizena cuilleres a soupe creme fraiche noix beurre sel poivre
https://cuisine-facile.com/entrees/recette-potage-navets-puree-sesame.php,Potage aux navets et à la purée de sésame,"['1 5 navets', '2 100 ml de crème fraiche liquide', '3 1 cube de bouillon de volaille', '4 2 cuillères à soupe de purée de sésame (tahineh)', '5 sel', '6 poivre']",navets creme fraiche liquide cube bouillon volaille cuilleres a soupe puree sesame sel poivre
https://cuisine-facile.com/entrees/recette-potage-celeri-et-persil.php,Potage céleri et persil,"['1 1 céleri-rave', '2 1 litre de lait entier', '3 1 Bouquet garni (facultatif)', '4 1 bouquet de persil', '5 sel', '6 poivre']",celeri rave litre lait entier bouquet garni bouquet persil sel poivre
